X,Y,Shape_Leng,Shape_Area,INSIDE_X,INSIDE_Y,ID,SC,CC,TDS,Sl,DD,LD,Lf,STC,LULC,NDVI,RF,GEOL,HU,GP,SC1,CC1,TDS1,Sl1,DD1,Lf1,STC1,LULC1,Geol1
839664.6972,1707753.0004,4000,1000000,839664.6972,1707753.0004,38,0.763406,784.116,721.145,0.854812,0.988372,0,24,9,5,0.237838,202.936,2,1,2,-0.285080714136,4.86474555853,1.92552359732,-0.153239517218,-0.0116619725268,7.79795897113,96.8,3.61855512512,6.2
876664.6972,1702753.0004,4000,1000000,876664.6972,1702753.0004,39,6.87143,14513.6,3193.83,1.30854,0.502649,0,24,6.99559,7,0.284259,189.489,4,1,1,1.34356517914,6.16449559193,1.96461052725,0.280056720656,-0.582045121694,7.79795897113,51.3750938258,5.2913319755,204.6
853664.6972,1701753.0004,4000,1000000,853664.6972,1701753.0004,40,1.33327,1785.05,1424.77,0.766753,1.80683,0,24,6.44092,5,0.22381,196.179,2,1,1,0.271704558392,5.2702851288,1.94701442988,-0.255285294919,0.688367570524,7.79795897113,41.714314201,3.61855512512,6.2
834664.6972,1693753.0004,4000,1000000,834664.6972,1693753.0004,41,0.634707,726.167,700.385,0.974689,0.865161,0,24,6,5,0.150259,197.122,2,1,1,-0.498545895913,4.82516687385,1.9244278854,-0.0255384914759,-0.139719374199,7.79795897113,34.8726522961,3.61855512512,6.2
880664.6972,1707753.0004,4000,1000000,880664.6972,1707753.0004,42,12.6755,28208.6,4563.13,2.10589,0.695107,0,24,4.44092,5,0.22348,193.273,4,1,1,1.59478035589,6.41109595165,1.97039271526,0.834491444042,-0.332538476384,7.79795897113,16.2242604916,3.61855512512,204.6
865664.6972,1692753.0004,4000,1000000,865664.6972,1692753.0004,43,2.18763,2154.08,3251.81,0.250511,2.75621,0,34,6.55908,5,0.137533,190.254,4,1,1,0.672108280688,5.35833476065,1.96492744454,-1.13280593331,1.32036750299,9.66190378969,43.6724640025,3.61855512512,204.6
855664.6972,1703753.0004,4000,1000000,855664.6972,1703753.0004,44,1.22492,1468.34,1303.66,0.828592,0.947436,0,24,4,3.15854,0.208514,198.66,4,1,1,0.194862087972,5.17699915484,1.94460790133,-0.182822579006,-0.0532735425081,7.79795897113,12.4,2.01709409842,204.6
826664.6972,1682753.0004,4000,1000000,826664.6972,1682753.0004,45,0.779832,894.461,790.457,0.209378,1.78338,0,34,6,11,0.19508,203.788,4,1,1,-0.261465275843,4.93191536128,1.92886376447,-1.24808365951,0.670865052065,9.66190378969,34.8726522961,8.5052531824,204.6
856664.6972,1707753.0004,4000,1000000,856664.6972,1707753.0004,46,1.34072,1670.33,1320.27,0.992312,1.74497,0,34.0707,6.4321,5,0.198812,200.224,4,1,1,0.276665710131,5.2387632946,1.94495744122,-0.00770876328447,0.64194622506,9.67402271698,41.5702861545,3.61855512512,204.6
858664.6972,1703753.0004,4000,1000000,858664.6972,1703753.0004,47,1.12528,1154.58,1154.78,1.1785,1.37687,0,24,7,5,0.258519,198.159,2,1,1,0.115288944178,5.05965135434,1.94114540665,0.168356115386,0.346802110213,7.79795897113,51.4567256969,3.61855512512,6.2
